City,Government Support and Public Opinion (minimum),Government Support and Public Opinion (maximum),Government Support (average),Government Support (weight),Press Centers (minimum),Press Centers (maximum),Press Centers (average),Press Centers (weight),Sport Infrastructure (minimum),Sports Infrastructure (maximum),Sports Infrastructure (average),Sports Infrastructure (weight),Olympic Village (minimum),Olympic Village (maximum),Olympic Village (average),Olympic Village (weight),Environmental Conditions and Impact (minimum),Environmental Conditions and Impact (maximum),Environmental Conditions (average),Environmental Conditions (weight),Accomodation (minimum),Accomodation (maximum),Accomodation (average),Accomodation (weight),Transport (minimum),Transport (maximum),Transport (average),Transport (weight),Security (minimum),Security (maximum),Security (average),Security (weight),Experience from Past Sporting Events (minimum),Experience from Past Sporting Events (maximum),Experience from Past Sporting Events (average),Experience from Past Sporting Events (weight),Finance (minimum),Finance (maximum),Finance (average),Finance (weight),Medical Services and Doping Control (minimum),Medical Services and Doping Control (maximum),Medical Services and Doping Control (average),Medical Services and Doping Control (weight),Telecommunications (minimum),Telecommunications (maximum),Telecommunications (average),Telecommunications (weight),IOC Evaluation of Capability,Overall Score,Voting Round 1 Results,Voting Round 2 Results,Voting Round 3 Results,Voting Round 4 Results,Eventual Winner
Oslo,5,7,6,2,6,9,7.5,2,7,9,8,4,6,9,7.5,3,8.5,9.5,9,2,7,8,7.5,5,7.5,8.5,8,3,8,9,8.5,3,9,10,9.5,2,6.5,8.5,7.5,3,9,10,9.5,2,8,9,8.5,2,NA,8,0,0,0,0,No
Almaty,6.5,8,7.25,2,5.5,8,6.75,2,6,8.5,7.25,4,4.5,8,6.25,3,5,6,5.5,2,5,6.5,5.75,5,6,8,7,3,5,7,6,3,4.5,7,5.75,2,5,6.5,5.75,3,6,7,6.5,2,5,7,6,2,NA,6.310606061,40,0,0,0,No
Beijing,8,9,8.5,2,7,8.5,7.75,2,5.5,7.5,6.5,4,6.5,8,7.25,3,5,7,6,2,7,8.5,7.75,5,5,7.5,6.25,3,8,9,8.5,3,6.5,8,7.25,2,7.5,9,8.25,3,7,8,7.5,2,7,9,8,2,NA,7.439393939,44,0,0,0,Yes
